,Continent,Region,Origin,Female,Male
339,Africa,Southern Africa,Luxembourg,299.0,205.0
340,Africa,Southern Africa,Madagascar,2345.0,1890.0
341,Africa,Southern Africa,Malawi,76450.0,281181.0
342,Africa,Southern Africa,Malaysia,4960.0,1164.0
343,Africa,Southern Africa,Maldives,128.0,243.0
344,Africa,Southern Africa,Mali,360.0,354.0
345,Africa,Southern Africa,Malta,1420.0,623.0
346,Africa,Southern Africa,Mauritius,26250.0,27955.0
347,Africa,Southern Africa,Mexico,880.0,750.0
348,Africa,Southern Africa,Monaco,23.0,118.0
349,Africa,Southern Africa,Morocco,2793.0,4509.0
350,Africa,Southern Africa,Mozambique,964286.0,2235320.0
351,Africa,Southern Africa,Myanmar,992.0,453.0
352,Africa,Southern Africa,Namibia,301529.0,278814.0
353,Africa,Southern Africa,Nauru,80.0,62.0
354,Africa,Southern Africa,Nepal,349.0,497.0
355,Africa,Southern Africa,Netherlands,68201.0,69990.0
356,Africa,Southern Africa,New Zealand,9751.0,9432.0
357,Africa,Southern Africa,Nicaragua,483.0,239.0
358,Africa,Southern Africa,Niger,48.0,84.0
359,Africa,Southern Africa,Nigeria,26232.0,95881.0
360,Africa,Southern Africa,Niue,38.0,94.0
361,Africa,Southern Africa,North Macedonia,161.0,555.0
362,Africa,Southern Africa,Northern Mariana Islands,27.0,140.0
363,Africa,Southern Africa,Norway,4831.0,3286.0
364,Africa,Southern Africa,Oman,87.0,117.0
365,Africa,Southern Africa,Pakistan,13718.0,46060.0
366,Africa,Southern Africa,Panama,194.0,196.0
367,Africa,Southern Africa,Papua New Guinea,215.0,175.0
368,Africa,Southern Africa,Paraguay,422.0,365.0
369,Africa,Southern Africa,Peru,658.0,703.0
370,Africa,Southern Africa,Philippines,6833.0,5314.0
371,Africa,Southern Africa,Poland,29001.0,27267.0
372,Africa,Southern Africa,Portugal,105314.0,108625.0
373,Africa,Southern Africa,Republic of Korea,6204.0,5294.0
374,Africa,Southern Africa,Romania,5382.0,4598.0
375,Africa,Southern Africa,Russian Federation,11875.0,11694.0
376,Africa,Southern Africa,Rwanda,18385.0,12954.0
377,Africa,Southern Africa,Réunion,2440.0,981.0
378,Africa,Southern Africa,Saint Helena,1088.0,421.0
379,Africa,Southern Africa,Saint Kitts and Nevis,60.0,103.0
380,Africa,Southern Africa,Saudi Arabia,2053.0,2108.0
381,Africa,Southern Africa,Senegal,1845.0,16970.0
382,Africa,Southern Africa,Serbia,12140.0,11308.0
383,Africa,Southern Africa,Seychelles,2535.0,1647.0
384,Africa,Southern Africa,Sierra Leone,1788.0,2686.0
385,Africa,Southern Africa,Singapore,2939.0,2521.0
386,Africa,Southern Africa,Slovakia,694.0,1833.0
387,Africa,Southern Africa,Somalia,55775.0,46640.0
388,Africa,Southern Africa,South Africa,99439.0,94440.0
389,Africa,Southern Africa,South Sudan,97.0,103.0
390,Africa,Southern Africa,Spain,5434.0,5863.0
391,Africa,Southern Africa,Sri Lanka,4738.0,4696.0
392,Africa,Southern Africa,State of Palestine,537.0,105.0
393,Africa,Southern Africa,Sudan,10386.0,10853.0
394,Africa,Southern Africa,Sweden,1524.0,1855.0
395,Africa,Southern Africa,Switzerland,11247.0,8897.0
396,Africa,Southern Africa,Syrian Arab Republic,422.0,353.0
397,Africa,Southern Africa,Thailand,4229.0,1260.0
398,Africa,Southern Africa,Trinidad and Tobago,76.0,87.0
399,Africa,Southern Africa,Tunisia,376.0,383.0
400,Africa,Southern Africa,Turkey,2744.0,4695.0
401,Africa,Southern Africa,Uganda,17169.0,21795.0
402,Africa,Southern Africa,Ukraine,13174.0,11868.0
403,Africa,Southern Africa,United Arab Emirates,644.0,553.0
404,Africa,Southern Africa,United Kingdom,491837.0,423163.0
405,Africa,Southern Africa,United Republic of Tanzania,24590.0,38855.0
406,Africa,Southern Africa,United States of America,53790.0,40533.0
407,Africa,Southern Africa,Uruguay,215.0,544.0
408,Africa,Southern Africa,Venezuela (Bolivarian Republic of),1060.0,958.0
409,Africa,Southern Africa,Viet Nam,672.0,404.0
410,Africa,Western Africa,Armenia,0.0,17.0
411,Africa,Western Africa,Australia,114.0,82.0
412,Africa,Western Africa,Austria,0.0,1.0
413,Africa,Western Africa,Azerbaijan,0.0,9.0
414,Africa,Western Africa,Bahamas,13.0,12.0
415,Africa,Western Africa,Bahrain,1.0,4.0
416,Africa,Western Africa,Bangladesh,0.0,1.0
417,Africa,Western Africa,Barbados,1.0,20.0
418,Africa,Western Africa,Belgium,659.0,1055.0
419,Africa,Western Africa,Belize,0.0,3.0
420,Africa,Western Africa,Benin,1238063.0,1467937.0
421,Africa,Western Africa,Bhutan,1.0,4.0
422,Africa,Western Africa,Bolivia (Plurinational State of),5.0,4.0
423,Africa,Western Africa,Bosnia and Herzegovina,0.0,3.0
424,Africa,Western Africa,Botswana,39.0,58.0
425,Africa,Western Africa,Brazil,3613.0,3997.0
426,Africa,Western Africa,British Virgin Islands,856.0,627.0
427,Africa,Western Africa,Bulgaria,1.0,4.0
428,Africa,Western Africa,Burkina Faso,4070001.0,5153434.0
429,Africa,Western Africa,Burundi,25.0,51.0
430,Africa,Western Africa,Cabo Verde,3556.0,3178.0
431,Africa,Western Africa,Cambodia,7.0,10.0
432,Africa,Western Africa,Cameroon,69639.0,86645.0
433,Africa,Western Africa,Canada,2305.0,2580.0
434,Africa,Western Africa,Central African Republic,3843.0,4301.0
435,Africa,Western Africa,Chad,68192.0,88736.0
436,Africa,Western Africa,Chile,2073.0,2481.0
437,Africa,Western Africa,China,6845.0,12095.0
438,Africa,Western Africa,Colombia,2161.0,2965.0
439,Africa,Western Africa,Comoros,558.0,929.0
440,Africa,Western Africa,Congo,33174.0,36046.0
441,Africa,Western Africa,Costa Rica,87.0,143.0
442,Africa,Western Africa,Croatia,1064.0,1864.0
443,Africa,Western Africa,Cuba,2741.0,3836.0
444,Africa,Western Africa,Côte d'Ivoire,1889277.0,1864867.0
445,Africa,Western Africa,Dem People's Republic of Korea,3900.0,3772.0
446,Africa,Western Africa,Democratic Republic of the Congo,6088.0,5965.0
447,Africa,Western Africa,Denmark,54.0,75.0
448,Africa,Western Africa,Djibouti,7.0,28.0
449,Africa,Western Africa,Dominica,17.0,8.0
450,Africa,Western Africa,Dominican Republic,1.0,2.0
451,Africa,Western Africa,Ecuador,0.0,3.0
452,Africa,Western Africa,Egypt,1946.0,2008.0
453,Africa,Western Africa,El Salvador,3.0,4.0
454,Africa,Western Africa,Equatorial Guinea,10128.0,13714.0
455,Africa,Western Africa,Eritrea,15.0,30.0
456,Africa,Western Africa,Eswatini,1.0,8.0
457,Africa,Western Africa,Ethiopia,90.0,96.0
458,Africa,Western Africa,Fiji,1.0,4.0
459,Africa,Western Africa,Finland,3.0,8.0
460,Africa,Western Africa,France,70404.0,73007.0
461,Africa,Western Africa,French Polynesia,505.0,506.0
462,Africa,Western Africa,Gabon,34397.0,37014.0
463,Africa,Western Africa,Gambia,68315.0,71871.0
464,Africa,Western Africa,Germany,5921.0,6031.0
465,Africa,Western Africa,Ghana,1219610.0,1123476.0
466,Africa,Western Africa,Grenada,622.0,470.0
467,Africa,Western Africa,Guadeloupe,1522.0,1252.0
468,Africa,Western Africa,Guinea,1090333.0,1393275.0
469,Africa,Western Africa,Guinea-Bissau,174831.0,159528.0
470,Africa,Western Africa,Haiti,23.0,25.0
471,Africa,Western Africa,Honduras,257.0,325.0
472,Africa,Western Africa,India,4595.0,9123.0
473,Africa,Western Africa,Iraq,307.0,384.0
474,Africa,Western Africa,Israel,1950.0,2265.0
475,Africa,Western Africa,Italy,2207.0,3036.0
476,Africa,Western Africa,Japan,1184.0,1310.0
477,Africa,Western Africa,Jordan,0.0,3.0
478,Africa,Western Africa,Kazakhstan,2304.0,3125.0
479,Africa,Western Africa,Kenya,1666.0,2377.0
480,Africa,Western Africa,Kiribati,0.0,5.0
481,Africa,Western Africa,Kuwait,115.0,100.0
482,Africa,Western Africa,Latvia,21.0,23.0
483,Africa,Western Africa,Lebanon,15570.0,23740.0
484,Africa,Western Africa,Lesotho,19.0,43.0
485,Africa,Western Africa,Liberia,906126.0,888250.0
486,Africa,Western Africa,Libya,19080.0,27631.0
487,Africa,Western Africa,Liechtenstein,5.0,2.0
488,Africa,Western Africa,Luxembourg,31.0,11.0
489,Africa,Western Africa,Madagascar,9.0,10.0
490,Africa,Western Africa,Malawi,9.0,24.0
491,Africa,Western Africa,Malaysia,0.0,1.0
492,Africa,Western Africa,Mali,2536109.0,3040111.0
